date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:43	22627/22627	---M-Z	200	added ('OK')	text/html	etag:%221a443c-569d-61fc7648a4480-gzip%22	https://brand-image.co.in/printing-service-agency-advertising.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/printing-service-agency-advertising.html	(from https://brand-image.co.in/)
16:28:43	16743/16743	---M--	200	added ('OK')	image/jpeg	etag:%22320fab-4167-61fc70e971800%22	https://brand-image.co.in/assets/img/project/acb.jpeg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/acb.jpg	(from https://brand-image.co.in/)
16:28:43	3072/3072	---M--	200	added ('OK')	image/png	etag:%22320fa3-c00-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/sr-icon-3-2.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/sr-icon-3-2.png	(from https://brand-image.co.in/)
16:28:44	398351/398351	---M--	200	added ('OK')	image/jpeg	etag:%22320eea-6140f-61fc70e971800%22	https://brand-image.co.in/assets/img/hero/slide25.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/hero/slide25.jpg	(from https://brand-image.co.in/)
16:28:44	21915/21915	---M-Z	200	added ('OK')	text/html	etag:%221a4443-53d5-61fc7648a4480-gzip%22	https://brand-image.co.in/shop-branding-services.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/shop-branding-services.html	(from https://brand-image.co.in/)
16:28:44	2003/2003	---M--	200	added ('OK')	image/png	etag:%22320fa5-7d3-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/sr-icon-3-4.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/sr-icon-3-4.png	(from https://brand-image.co.in/)
16:28:45	623729/623729	---M--	200	added ('OK')	image/jpeg	etag:%22320fae-98471-61fc70e971800%22	https://brand-image.co.in/assets/img/project/out.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/out.jpg	(from https://brand-image.co.in/)
16:28:45	20923/20923	---M-Z	200	added ('OK')	text/html	etag:%221a4435-4ff5-61fc7648a4480-gzip%22	https://brand-image.co.in/outdoor-and-hoarding-advertising-agency.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/outdoor-and-hoarding-advertising-agency.html	(from https://brand-image.co.in/)
16:28:46	2410/2410	---M--	200	added ('OK')	image/png	etag:%22320fa6-96a-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/sr-icon-3-5.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/sr-icon-3-5.png	(from https://brand-image.co.in/)
16:28:46	566790/566790	---M--	200	added ('OK')	image/jpeg	etag:%22320fb0-8a606-61fc70e971800%22	https://brand-image.co.in/assets/img/project/pro.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/pro.jpg	(from https://brand-image.co.in/)
16:28:46	22953/22953	---M-Z	200	added ('OK')	text/html	etag:%221a443d-57e3-61fc7648a4480-gzip%22	https://brand-image.co.in/promotinal-material.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/promotinal-material.html	(from https://brand-image.co.in/)
16:28:46	92085/92085	---M--	200	added ('OK')	image/jpeg	etag:%22320fac-167b5-61fc70e971800%22	https://brand-image.co.in/assets/img/project/event.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/event.jpg	(from https://brand-image.co.in/)
16:28:47	22132/22132	---M-Z	200	added ('OK')	text/html	etag:%221a442e-54ae-61fc7648a4480-gzip%22	https://brand-image.co.in/event-and-promotion-advertising-agency.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/event-and-promotion-advertising-agency.html	(from https://brand-image.co.in/)
16:28:47	36083/36083	---M--	200	added ('OK')	image/jpeg	etag:%22320fb1-8cf3-61fc70e971800%22	https://brand-image.co.in/assets/img/project/tran.jpeg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/tran.jpg	(from https://brand-image.co.in/)
16:28:47	22729/22729	---M-Z	200	added ('OK')	text/html	etag:%221a4446-5703-61fc7648a4480-gzip%22	https://brand-image.co.in/transit-media-advertising.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/transit-media-advertising.html	(from https://brand-image.co.in/)
16:28:48	8699/8699	---M--	200	added ('OK')	image/jpeg	etag:%22320faa-21fb-61fc70e971800%22	https://brand-image.co.in/assets/img/project/10.jpeg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/10.jpg	(from https://brand-image.co.in/)
16:28:48	20487/20487	---M-Z	200	added ('OK')	text/html	etag:%221a442c-4e41-61fc7648a4480-gzip%22	https://brand-image.co.in/digital-wall-painting-advertising.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/digital-wall-painting-advertising.html	(from https://brand-image.co.in/)
16:28:49	6881/6881	---M--	200	added ('OK')	image/png	etag:%22320fad-1ae1-61fc70e971800%22	https://brand-image.co.in/assets/img/project/fire.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/project/fire.png	(from https://brand-image.co.in/)
16:28:49	32490/32490	---M-Z	200	added ('OK')	text/html	etag:%221a4444-7d24-61fc7648a4480-gzip%22	https://brand-image.co.in/signages-effective-design.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/signages-effective-design.html	(from https://brand-image.co.in/)
16:28:49	10060/10060	---M--	200	added ('OK')	image/webp	etag:%22200776-274c-61fcd21bc28c0%22	https://brand-image.co.in/assets/img/about/A.webp	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/about/A.webp	(from https://brand-image.co.in/)
